Company Name,Domain,Business Address,Phone Number,CEO/Founder/Owner,Title
Google,google.com,1600 Amphitheatre Pkwy Mountain View CA 94043,650-253-0000,Sundar Pichai,CEO
Microsoft,microsoft.com,One Microsoft Way Redmond WA 98052,800-642-7676,Satya Nadella,CEO
Apple,apple.com,One Apple Park Way Cupertino CA 95014,408-996-1010,Tim Cook,CEO
Tesla,tesla.com,1 Tesla Road Austin TX 78725,888-518-3752,Elon Musk,CEO
